"<1783681660113>" ,-0.25813478,0.4093,0.23444587,0.84313405,2.5263844,-0.73131657,6.3141646
"<1783681660147>" ,-0.25739038,0.40945584,0.23544125,0.8430086,2.5285835,-0.73150563,6.3082314
"<1783681660181>" ,-0.2564558,0.4105601,0.23577212,0.8426639,2.5309467,-0.7319686,6.302424
"<1783681660216>" ,-0.2553182,0.4129941,0.23512477,0.8420005,2.5334833,-0.73255146,6.2967215
"<1783681660251>" ,-0.25437033,0.41552052,0.23402551,0.8413504,2.5359275,-0.73345697,6.2909937
"<1783681660283>" ,-0.25338098,0.41840908,0.23203947,0.84076726,2.5383916,-0.7347041,6.285377
"<1783681660315>" ,-0.2543046,0.42263144,0.23097703,0.8386665,2.5404272,-0.73644686,6.279641
"<1783681660350>" ,-0.25620836,0.42601144,0.22979005,0.8367007,2.542184,-0.7388597,6.2745094
"<1783681660384>" ,-0.2580734,0.42963794,0.2281368,0.83472335,2.5437994,-0.7417458,6.269204
"<1783681660416>" ,-0.25960842,0.43353888,0.22786868,0.83230007,2.5450408,-0.7452534,6.2640004
"<1783681660450>" ,-0.261323,0.43536216,0.22897951,0.83050495,2.54565,-0.74931604,6.2590528
"<1783681660484>" ,-0.26258737,0.43653315,0.2307556,0.82899857,2.545714,-0.7535216,6.254658
"<1783681660516>" ,-0.2624837,0.43698946,0.23244485,0.8283187,2.5456305,-0.75774765,6.2507524
"<1783681660550>" ,-0.26160508,0.43784022,0.2330949,0.8279646,2.545733,-0.761696,6.246972
"<1783681660583>" ,-0.26118818,0.4385706,0.23262694,0.82784134,2.545552,-0.765084,6.24354
"<1783681660615>" ,-0.26283136,0.43934733,0.23248054,0.8269501,2.5448523,-0.7683596,6.2402225
"<1783681660650>" ,-0.26613253,0.44215974,0.23161118,0.824636,2.5443683,-0.771352,6.2370358
"<1783681660684>" ,-0.26934537,0.44641417,0.22881408,0.82207763,2.5443077,-0.77415144,6.2342463
"<1783681660717>" ,-0.27146164,0.4493681,0.22553729,0.82067645,2.5444424,-0.7773372,6.231977
"<1783681660750>" ,-0.27359235,0.45054558,0.22357617,0.81985945,2.5448463,-0.7806932,6.2302113
"<1783681660784>" ,-0.27552533,0.44853565,0.22425799,0.82012796,2.5445733,-0.7843415,6.2285876
"<1783681660817>" ,-0.2768507,0.4466275,0.22628038,0.8201675,2.5440867,-0.7881522,6.2270994
"<1783681660851>" ,-0.2791011,0.44464892,0.2284011,0.8198919,2.5435135,-0.7920184,6.225459
"<1783681660885>" ,-0.28276214,0.4424939,0.22956683,0.81947774,2.5429375,-0.7958616,6.2235966
"<1783681660917>" ,-0.28637618,0.44172916,0.22933534,0.8186997,2.5427237,-0.7991408,6.221905
"<1783681660951>" ,-0.28827855,0.44291958,0.22835083,0.8176635,2.5430512,-0.80165374,6.2208204
"<1783681660985>" ,-0.2895521,0.44440845,0.22812988,0.81646645,2.5433352,-0.80371904,6.2202706
"<1783681661017>" ,-0.28912365,0.443912,0.22963223,0.8164672,2.543382,-0.80569243,6.2203536
"<1783681661051>" ,-0.2865017,0.44443262,0.23213765,0.8163998,2.543856,-0.8077314,6.2209845
"<1783681661086>" ,-0.2857013,0.44683883,0.23384096,0.8148793,2.5445948,-0.80930775,6.2213616
"<1783681661118>" ,-0.2874137,0.4475795,0.23283859,0.81415725,2.5453572,-0.8104496,6.2210894
